province,maire,num_bv,bv,inscrits,votants,abstention,nuls,blancs,exprimes,oui,non 
Province Nord,BELEP,N. 1,Mairie,790,589,201,2,0,587,555,32   
Province Nord,BELEP,N. 2,Lieu de vote delocalise de BELEP a NOUMEA,130,118,12,2,0,116,109,7   
Province Sud,BOULOUPARIS,N. 1,Mairie - Maison des associations,1520,1394,126,13,3,1378,493,885   
Province Sud,BOULOUPARIS,N. 2,Centre Culturel,1125,1006,119,5,3,998,226,772   
Province Sud,BOURAIL,N. 1,Mairie,602,533,69,4,3,526,113,413   
Province Sud,BOURAIL,N. 2,Pothe,822,679,143,11,2,666,553,113   
Province Sud,BOURAIL,N. 3,Colisee,842,769,73,4,3,762,131,631 
Province Sud,BOURAIL,N. 4,Ecole Les Lys d Eau,821,737,84,5,5,727,112,615   
Province Sud,BOURAIL,N. 5,Ecole Louise Michel,847,764,83,9,4,751,152,599   
Province Nord,CANALA,N. 1,Mairie,340,293,47,7,3,283,252,31 
Province Nord,CANALA,N. 2,Nakety,793,732,61,3,1,728,701,27   
Province Nord,CANALA,N. 3,Nanon,465,404,61,2,8,394,372,22   
Province Nord,CANALA,N. 4,Mehoue,789,672,117,6,2,664,615,49   
Province Nord,CANALA,N. 5,Gelima,735,639,96,2,4,633,617,16   
Province Nord,CANALA,N. 6,Mereneme,284,234,50,4,2,228,205,23   
Province Sud,DUMBEA,N. 1,Hotel de Ville 1,820,691,129,1,5,685,70,615   
Province Sud,DUMBEA,N. 2,Hotel de ville 2,1454,1192,262,18,10,1164,365,799   
Province Sud,DUMBEA,N. 3,Ecole maternelle Les Orangers,640,502,138,4,4,494,155,339   
Province Sud,DUMBEA,N. 4,Groupe scolaire Alphonse DILLENSEGER,1042,864,178,10,16,838,144,694   
Province Sud,DUMBEA,N. 5,Maison de la Jeunesse,1274,1059,215,6,7,1046,277,769   
Province Sud,DUMBEA,N. 6,Centre Culturel de DUMBEA,799,643,156,10,4,629,145,484   
Province Sud,DUMBEA,N. 7,Ecole maternelle Les Jacarandas,1186,962,224,7,5,950,223,727   
Province Sud,DUMBEA,N. 8,Ecole maternelle Les Niaoulis,898,729,169,6,4,719,177,542   
Province Sud,DUMBEA,N. 9,Ecole primaire Gustave CLAIN,1122,950,172,3,8,939,239,700   
Province Sud,DUMBEA,N. 10,Ecole maternelle L Oasis,1094,897,197,8,6,883,214,669   
Province Sud,DUMBEA,N. 11,Groupe scolaire Michelle DELACHARLERIE-ROLLY 1,273,249,24,2,1,246,6,240   
Province Sud,DUMBEA,N. 12,Groupe scolaire Michelle DELACHARLERIE-ROLLY 2,665,509,156,13,8,488,163,325   
Province Sud,DUMBEA,N. 13,Groupe scolaire Renee FONG,1131,941,190,10,7,924,248,676   
Province Sud,DUMBEA,N. 14,Mairie Nord,902,774,128,5,3,766,81,685   
Province Sud,DUMBEA,N. 15,Groupe scolaire John HIGGINSON,818,674,144,8,5,661,79,582   
Province Sud,DUMBEA,N. 16,Ecole primaire Paul DUBOISE 1,726,643,83,7,6,630,92,538   
Province Sud,DUMBEA,N. 17,Ecole primaire Paul DUBOISE 2,645,537,108,0,6,531,99,432   
Province Sud,DUMBEA,N. 18,Ecole maternelle Les Colibris,1057,883,174,4,6,873,153,720   
Province Sud,FARINO,N. 1,Mairie,548,520,28,6,2,512,47,465   
Province Nord,HIENGHENE,N. 1,Mairie,541,461,80,6,3,452,422,30   
Province Nord,HIENGHENE,N. 2,Tendo,220,189,31,1,0,188,176,12   
Province Nord,HIENGHENE,N. 3,Bas-Coulna,114,97,17,0,0,97,86,11
Province Nord,HIENGHENE,N. 4,Haut-Coulna,100,82,18,1,0,81,79,2   
Province Nord,HIENGHENE,N. 5,Ouayaguette,178,144,34,0,0,144,128,16   
Province Nord,HIENGHENE,N. 6,Ouaieme,209,177,32,3,1,173,166,7   
Province Nord,HIENGHENE,N. 7,Oue-Hawa,65,55,10,0,0,55,55,0   
Province Nord,HIENGHENE,N. 8,Tiendanite,94,87,7,0,0,87,87,0   
Province Nord,HIENGHENE,N. 9,Ouare,583,527,56,7,4,516,501,15   
Province Nord,HIENGHENE,N. 10,Lewarap,286,250,36,1,2,247,233,14   
Province Nord,HOUAILOU,N. 1,Mairie,410,333,77,6,3,324,257,67   
Province Nord,HOUAILOU,N. 2,Warai,660,541,119,10,7,524,407,117   
Province Nord,HOUAILOU,N. 3,Ba,369,306,63,2,0,304,266,38   
Province Nord,HOUAILOU,N. 4,Nessakoea,303,253,50,0,0,253,229,24   
Province Nord,HOUAILOU,N. 5,Poro,516,412,104,4,5,403,306,97   
Province Nord,HOUAILOU,N. 6,Coula,494,399,95,2,1,396,348,48   
Province Nord,HOUAILOU,N. 7,Neaoua,328,276,52,2,1,273,253,20   
Province Nord,HOUAILOU,N. 8,Nedivin,498,428,70,4,0,424,368,56   
Province Nord,KAALA-GOMEN,N. 1,Mairie,494,411,83,3,4,404,222,182   
Province Nord,KAALA-GOMEN,N. 2,Oueholle,358,328,30,0,2,326,323,3   
Province Nord,KAALA-GOMEN,N. 3,Maison Paita,274,245,29,2,0,243,217,26   
Province Nord,KAALA-GOMEN,N. 4,Maison Gamai,184,161,23,1,0,160,145,15   
Province Nord,KAALA-GOMEN,N. 5,Maison Baoui,131,115,16,0,0,115,105,10   
Province Nord,KAALA-GOMEN,N. 6,Ouaco,193,170,23,0,2,168,56,112   
Province Nord,KONe,N. 1,Salle Au Pitiri,661,555,106,2,1,552,166,386   
Province Nord,KONe,N. 2,Poindah,164,140,24,1,0,139,104,35   
Province Nord,KONe,N. 3,Netchaot,395,344,51,6,3,335,301,34   
Province Nord,KONe,N. 4,Tiaoue,263,245,18,0,0,245,228,17   
Province Nord,KONe,N. 5,Ateou,125,115,10,0,0,115,111,4   
Province Nord,KONe,N. 6,Bopope,214,187,27,2,0,185,167,18   
Province Nord,KONe,N. 7,Neami,208,181,27,1,0,180,146,34   
Province Nord,KONe,N. 8,Baco,397,364,33,2,0,362,323,39   
Province Nord,KONe,N. 9,Ecole primaire Les Cigales,640,560,80,5,5,550,313,237   
Province Nord,KONe,N. 10,Noelly,211,189,22,4,0,185,176,9   
Province Nord,KONe,N. 11,Ecole Teari,495,421,74,6,5,410,173,237   
Province Nord,KONe,N. 12,Les Allamandas,376,337,39,6,2,329,99,230   
Province Nord,KOUAOUA,N. 1,Mairie,558,468,90,3,3,462,296,166   
Province Nord,KOUAOUA,N. 2,Ouerou-Pimet,262,212,50,1,1,210,181,29   
Province Nord,KOUAOUA,N. 3,Koh,145,136,9,1,1,134,114,20   
Province Nord,KOUAOUA,N. 4,Mea-Mebara,167,138,29,0,3,135,101,34   
Province Nord,KOUMAC,N. 1,Mairie 1 et centralisateur,1162,1053,109,9,16,1028,481,547   
Province Nord,KOUMAC,N. 2,Ecole primaire Charles Mermoud 2,1498,1335,163,14,10,1311,372,939   
Province Sud,LA FOA,N. 1,Centre socio-culturel,853,771,82,11,8,752,172,580   
Province Sud,LA FOA,N. 2,Centre socio-culturel,671,610,61,5,2,603,259,344   
Province Sud,LA FOA,N. 3,Centre socio-culturel,788,723,65,7,3,713,214,499   
Province Sud,LA FOA,N. 4,Centre socio-culturel,567,527,40,2,3,522,131,391
Province des Iles,LIFOU,N. 1,Fare des iles,550,317,233,3,2,312,213,99   
Province des Iles,LIFOU,N. 2,Xepenehe,615,331,284,4,3,324,275,49   
Province des Iles,LIFOU,N. 3,Drueulu,581,344,237,1,1,342,318,24   
Province des Iles,LIFOU,N. 4,Jozip,312,189,123,2,3,184,139,45   
Province des Iles,LIFOU,N. 5,Jokin,383,199,184,5,1,193,177,16   
Province des Iles,LIFOU,N. 6,Hmelek,537,282,255,0,1,281,211,70   
Province des Iles,LIFOU,N. 7,Mou,486,269,217,3,1,265,158,107   
Province des Iles,LIFOU,N. 8,Hnathalo,519,350,169,4,1,345,309,36   
Province des Iles,LIFOU,N. 9,Hnacaom,190,101,89,0,1,100,67,33   
Province des Iles,LIFOU,N. 10,Siloam,271,183,88,2,1,180,156,24   
Province des Iles,LIFOU,N. 11,Wasany,311,185,126,1,1,183,139,44   
Province des Iles,LIFOU,N. 12,Tiga,191,58,133,0,2,56,52,4   
Province des Iles,LIFOU,N. 13,Luecila,607,424,183,5,5,414,303,111
Province des Iles,LIFOU,N. 14,Hapetra,337,221,116,1,0,220,183,37   
Province des Iles,LIFOU,N. 15,Nang,349,176,173,0,0,176,149,27   
Province des Iles,LIFOU,N. 16,Xodre,158,85,73,0,0,85,61,24   
Province des Iles,LIFOU,N. 17,Huiwatrul,375,244,131,1,0,243,196,47   
